SNR,BER
5.0, 0.05588128882718373
6.0, 0.03481908319040049
7.0, 0.019341226668828086
8.0, 0.009360791146356259
9.0, 0.003862136371004853
10.0, 0.0012503791206492636
11.0, 0.00029750076695671577
12.0, 5.550086631247212e-05
13.0, 6.433067338799642e-06
14.0, 5.583314159415438e-07
15.0, 1.9064975178491743e-08
16.0, 0.0
17.0, 0.0
18.0, 0.0
19.0, 0.0
20.0, 0.0
21.0, 0.0
22.0, 0.0
23.0, 0.0
24.0, 0.0
25.0, 0.0
26.0, 0.0
27.0, 0.0
28.0, 0.0
29.0, 0.0
30.0, 0.0
31.0, 0.0
32.0, 0.0
33.0, 0.0
34.0, 0.0
35.0, 0.0
36.0, 0.0
37.0, 0.0
38.0, 0.0
39.0, 0.0
40.0, 0.0
41.0, 0.0
42.0, 0.0
43.0, 0.0
44.0, 0.0
45.0, 0.0
