SNR,BER
5.0, 0.00595536170288794
6.0, 0.002385202703173807
7.0, 0.0007717937723114681
8.0, 0.00019020036308428151
9.0, 3.3905696571006254e-05
10.0, 3.586938901439089e-06
11.0, 2.2605613425925927e-07
12.0, 1.3617839413208389e-08
13.0, 0.0
14.0, 0.0
15.0, 0.0
16.0, 0.0
17.0, 0.0
18.0, 0.0
19.0, 0.0
20.0, 0.0
21.0, 0.0
22.0, 0.0
23.0, 0.0
24.0, 0.0
25.0, 0.0
26.0, 0.0
27.0, 0.0
28.0, 0.0
29.0, 0.0
30.0, 0.0
31.0, 0.0
32.0, 0.0
33.0, 0.0
34.0, 0.0
35.0, 0.0
36.0, 0.0
37.0, 0.0
38.0, 0.0
39.0, 0.0
40.0, 0.0
41.0, 0.0
42.0, 0.0
43.0, 0.0
44.0, 0.0
45.0, 0.0
