SNR,BER
5.0, 0.1034495212839204
6.0, 0.07077120602636239
7.0, 0.04297815175633088
8.0, 0.022781615829638002
9.0, 0.010725007233796298
10.0, 0.0036232004842285804
11.0, 0.0010044681765255467
12.0, 0.00020155219401913208
13.0, 2.1567934062639445e-05
14.0, 1.6177993222891568e-06
15.0, 8.170703647925033e-08
16.0, 2.723567882641678e-09
17.0, 0.0
18.0, 0.0
19.0, 0.0
20.0, 0.0
21.0, 0.0
22.0, 0.0
23.0, 0.0
24.0, 0.0
25.0, 0.0
26.0, 0.0
27.0, 0.0
28.0, 0.0
29.0, 0.0
30.0, 0.0
31.0, 0.0
32.0, 0.0
33.0, 0.0
34.0, 0.0
35.0, 0.0
36.0, 0.0
37.0, 0.0
38.0, 0.0
39.0, 0.0
40.0, 0.0
41.0, 0.0
42.0, 0.0
43.0, 0.0
44.0, 0.0
45.0, 0.0
